StudentID;Age;Gender;Ethnicity;ParentalEducation;StudyTimeWeekly;Absences;Tutoring;ParentalSupport;Extracurricular;Sports;Music;Volunteering;GPA;GradeClass
1049;16;0;1;2;1.790.170.345.532.620;17;0;3;0;0;1;0;20.998.851.567.205.800;3.0
1050;16;1;1;1;19.441.069.492.469.700;16;0;4;1;0;0;0;24.610.469.629.080.900;3.0
1051;17;1;2;2;1.718.649.902.140.950;5;0;3;0;0;0;0;2.935.477.191.694.630;2.0
1052;16;1;2;0;2.200.354.422.550.870;12;1;1;1;0;1;0;19.863.780.592.187.400;4.0
1053;17;1;0;1;18.948.559.961.195.800;22;0;4;0;0;1;0;15.715.441.913.992.800;4.0
1054;18;0;0;2;846.716.054.701.572;13;0;1;0;1;0;0;16.643.106.896.610.800;4.0
1055;17;0;0;0;0.18620581524707358;29;1;2;1;1;0;0;0.7562591665741925;4.0
1056;18;0;0;1;8.847.874.814.963.870;25;0;2;0;1;0;0;0.8027695392342074;4.0
1057;18;1;0;4;0.9213833935093518;20;0;2;0;1;1;0;13.423.871.779.577.300;4.0
1058;15;0;0;4;1.087.755.842.322.230;29;0;3;1;0;0;0;0.2865712882866222;4.0
1059;17;0;0;1;6.771.080.548.741.020;9;1;3;0;1;0;0;261.383.869.367.367;2.0
1060;15;1;3;0;9.468.698.671.880.970;23;0;3;0;1;0;0;0.9290125546259369;4.0
1061;17;1;1;1;1.226.340.721.486.230;10;0;0;1;0;1;0;18.927.586.959.265.900;4.0
1062;17;0;0;1;17.376.021.916.356.400;12;0;2;0;0;1;0;2.331.261.549.308.750;3.0
1063;15;0;1;3;13.238.031.529.438.500;11;0;3;0;1;0;0;2.234.238.472.600.230;3.0
1064;15;0;0;1;8.680.977.369.563.610;8;0;2;0;1;0;0;23.858.282.190.764.600;3.0
1065;17;0;0;2;16.388.557.073.407.300;3;1;4;0;0;0;0;33.473.567.435.078.000;1.0
1066;16;0;1;1;18.111.642.751.462.600;6;1;3;1;0;0;0;32.618.553.073.332.900;1.0
1067;18;0;0;4;23.951.993.286.439.400;23;0;3;0;1;0;0;10.396.238.791.477.100;4.0
1068;15;1;0;1;10.638.659.551.055.800;28;0;0;0;1;0;0;0.027818624732467906;4.0
1069;18;1;3;2;5.690.239.194.848.880;21;1;3;0;0;1;0;13.299.645.378.768.700;4.0
1070;16;1;2;1;0.941223957538948;1;0;4;0;0;1;0;32.839.165.218.973.800;1.0
1071;16;0;1;2;13.370.933.902.279.700;6;0;2;1;0;0;0;2.937.454.182.316.860;2.0
1072;16;1;1;1;17.255.415.549.184.500;28;0;3;0;0;1;1;0.7388682028052602;4.0
1073;15;0;1;1;3.258.053.089.547.880;8;0;2;1;1;0;0;2.556.801.662.833.410;2.0
1074;16;0;0;3;1.624.827.315.247.800;4;1;2;0;0;0;0;3.300.928.568.970.790;1.0
1075;15;1;0;3;17.067.914.670.738.800;14;0;3;1;0;1;0;2.200.682.946.560.560;3.0
1076;16;0;0;3;1.828.680.885.332.960;17;0;3;0;1;0;0;18.558.655.731.681.900;4.0
1077;18;0;0;2;5.305.701.781.721.040;3;0;3;0;0;0;0;27.344.014.944.199.900;2.0
1078;18;1;1;3;18.079.061.303.797.700;18;1;1;1;1;0;0;21.317.372.971.872.200;3.0
1079;17;1;0;0;6.413.255.094.728.640;19;0;1;0;0;0;0;0.9797699107752862;4.0
1080;18;1;3;1;11.046.760.269.110.000;25;0;3;0;1;0;0;0.994325023551287;4.0
1081;17;0;3;1;10.101.494.166.456.400;6;0;1;0;1;0;0;20.746.999.767.813.300;3.0
1082;18;1;2;2;0.8776217673748721;25;0;2;0;0;0;0;0.500508035804656;4.0
1083;15;1;1;1;14.407.464.254.644.000;7;0;0;1;1;0;0;2.532.438.417.587.670;2.0
1084;18;0;2;1;888.959.955.955.582;16;0;1;0;1;0;0;14.633.780.357.856.900;4.0
1085;17;1;0;2;5.125.847.507.384.350;12;0;3;1;1;0;0;2.342.836.773.191.850;3.0
1086;17;1;2;3;3.808.269.920.498.200;23;0;3;0;0;0;0;11.588.463.344.506.000;4.0
1087;16;1;0;1;13.399.069.817.184.300;20;1;1;1;0;1;1;15.237.487.447.337.300;4.0
1088;15;0;2;1;0.008030880506797455;27;0;1;0;0;1;0;0.0;4.0
1089;18;0;0;1;16.117.823.383.937.000;22;0;0;1;0;1;0;10.586.220.144.439.800;4.0
1090;16;0;2;1;15.849.921.225.985.700;10;0;2;0;0;1;1;22.297.401.841.747.600;3.0
1091;18;0;3;1;3.829.792.298.162.380;26;0;1;0;0;0;1;0.19474328074551517;4.0
1092;18;1;0;2;7.724.727.905.981.790;0;0;2;1;1;0;0;35.069.200.713.692.100;0.0
1093;16;0;0;2;9.697.174.794.322.070;1;1;3;0;0;0;0;3.552.286.943.350.940;0.0
1094;16;0;3;2;7.099.902.316.278.830;16;1;3;0;1;0;0;223.849.135.429.023;3.0
1095;16;1;0;1;6.414.243.299.685.870;4;0;1;1;1;0;0;27.084.723.438.568.700;2.0
1096;16;1;2;3;19.278.320.241.463.700;29;0;3;0;0;0;1;0.7329082339013866;4.0
1097;16;1;1;1;12.831.593.624.867.800;29;0;4;0;0;1;0;0.9654824453045303;4.0
1098;18;0;0;2;0.46865910734776417;5;0;2;0;1;0;0;25.552.328.599.380.900;2.0
1099;16;0;0;3;8.603.518.168.886.260;25;0;2;1;0;1;1;0.7443222999212357;4.0
1100;15;0;0;1;17.500.173.994.879.400;24;0;2;0;0;0;0;0.7220565813951911;4.0
1101;17;1;2;1;6.029.123.728.213.350;23;1;1;1;1;0;1;12.712.295.298.373.400;4.0
1102;16;1;0;3;18.911.268.954.877.600;6;0;3;1;0;1;1;252.614.214.142.023;2.0
1103;16;0;1;1;15.167.695.431.798.300;27;0;3;1;1;0;0;0.9424153953595232;4.0
1104;18;1;0;2;12.120.276.638.721.600;20;1;2;0;1;0;0;1.515.639.098.395.020;4.0
1105;16;1;1;0;11.406.250.156.530.000;29;0;3;1;0;0;0;0.6482739267081915;4.0
1106;16;1;2;2;10.715.311.921.481.500;14;0;3;0;1;1;1;20.488.500.821.388.600;3.0
1107;16;0;3;1;28.099.801.959.103.400;18;0;0;1;0;0;1;0.8422959992571388;4.0
1108;18;1;0;0;12.450.987.924.262.200;15;0;1;0;1;0;0;14.641.879.236.906.400;4.0
1109;16;1;2;2;4.156.476.829.176.710;24;1;3;1;1;0;0;1.487.946.865.169.790;4.0
1110;17;0;2;1;10.081.401.594.968.400;12;1;4;0;0;0;0;2.587.565.796.370.630;2.0
1111;18;0;1;1;1.089.763.372.058.780;4;1;3;0;0;0;0;32.208.069.781.948.700;1.0
1112;17;1;3;0;5.670.143.805.418.780;2;1;4;0;0;1;0;35.451.594.318.003.100;0.0
1113;18;1;0;1;18.968.503.110.829.800;2;0;2;0;0;0;0;30.895.989.530.746.400;1.0
1114;16;0;0;1;168.492.821.367.115;18;1;1;0;1;1;0;19.199.564.399.182.000;4.0
1115;17;0;2;0;1.444.747.015.265.590;13;1;2;0;0;0;0;21.985.931.845.869.600;3.0
1116;18;1;0;3;15.598.773.281.881.800;15;0;0;0;0;0;1;0.8782126167627767;4.0
1117;15;1;2;0;2.122.600.386.180.380;21;0;3;1;0;1;0;1.340.368.647.512.400;4.0
1118;16;1;2;2;9.855.626.917.299.110;16;0;4;0;0;0;0;18.195.113.357.139.000;4.0
1119;18;1;0;1;32.142.669.838.197.100;26;0;3;0;1;0;0;0.6193509314675341;4.0
1120;15;0;2;1;1.956.530.927.058.940;3;0;2;1;0;1;1;3.619.460.869.693.510;0.0
1121;18;1;0;3;3.170.404.680.548.180;12;1;1;1;1;0;0;21.749.027.962.098.700;3.0
1122;15;1;1;1;974.935.670.927.948;7;1;1;0;1;1;0;29.744.060.149.110.400;2.0
1123;16;0;1;4;7.282.421.136.830.100;18;0;2;0;0;0;0;0.9807358437488027;4.0
1124;17;1;3;1;12.787.728.429.081.900;4;0;3;0;0;0;0;3.101.673.809.015.100;1.0
1125;15;0;0;2;25.807.281.777.884.900;1;1;2;1;0;1;0;34.982.573.417.733.200;1.0
1126;18;1;0;2;8.606.328.560.847.810;14;0;4;1;0;0;0;2.590.553.445.052.980;2.0
1127;16;1;1;3;5.494.100.656.142.870;1;0;3;1;0;0;0;35.350.037.581.843.100;0.0
1128;15;0;2;2;1.775.503.049.343.370;10;1;1;0;1;0;0;28.199.217.452.931.800;2.0
1129;18;0;1;2;0.8117142426939017;12;1;1;1;1;0;0;20.165.967.745.176.600;3.0
1130;18;1;0;1;18.274.549.880.129.100;22;1;3;0;0;0;0;13.711.850.388.917.100;4.0
1131;18;1;0;1;1.665.988.277.106.000;9;0;1;0;0;0;0;21.047.955.879.699.000;3.0
1132;15;1;0;3;5.951.414.328.816.300;2;0;3;0;0;0;0;3.030.439.088.696.520;1.0
1133;15;0;2;1;15.785.813.093.542.000;4;1;2;0;1;0;0;35.824.218.723.119.500;0.0
1134;15;1;0;1;0.6242712067749512;2;0;1;1;0;0;0;24.265.467.060.392.400;3.0
1135;17;0;0;2;1.933.731.100.586.780;5;1;2;1;0;0;0;3.161.436.270.258.360;1.0
1136;15;0;3;1;10.531.898.851.795.700;12;0;2;1;0;0;0;2.122.638.529.628.860;3.0
1137;15;1;0;4;6.065.620.521.308.900;9;0;3;0;1;0;0;2.204.860.580.997.310;3.0
1138;15;0;3;2;72.516.642.518.935.400;18;0;0;1;0;1;1;11.829.875.004.980.400;4.0
1139;17;1;1;2;13.281.070.692.099.400;7;0;3;1;0;0;0;27.387.957.163.435.900;2.0
1140;15;1;2;3;19.786.990.280.840.700;17;1;3;0;0;0;0;22.379.013.009.826.000;3.0
1141;18;1;0;0;0.7858389030138491;2;0;3;1;0;0;0;31.394.815.463.803.800;1.0
1142;15;1;0;1;13.098.142.462.957.100;23;1;0;1;1;0;0;10.460.447.710.800.900;4.0
1143;18;1;2;2;8.854.718.554.129.160;23;1;3;0;0;0;0;0.8164582452137992;4.0
1144;18;0;2;1;18.978.324.363.774.300;16;0;2;1;0;1;0;20.335.446.205.211.800;3.0
1145;18;0;2;2;4.919.994.806.135.900;7;1;2;1;1;0;0;24.320.785.227.822.300;3.0
1146;17;1;0;3;10.641.736.478.760.200;9;0;3;1;0;0;0;26.597.713.195.279.000;2.0
1147;17;1;2;2;964.712.417.165.506;1;1;2;1;0;0;1;35.888.879.397.650.100;0.0
1148;17;0;2;1;14.057.328.881.002.000;11;0;3;0;1;0;0;23.145.876.278.110.000;3.0
1149;15;0;1;4;13.602.046.390.484.100;22;0;1;1;1;0;1;100.722.582.021.403;4.0
1150;18;0;2;2;3.875.782.600.467.090;5;0;3;1;0;0;0;28.816.123.214.605.200;2.0
1151;17;0;2;2;4.291.296.401.856.990;1;0;1;0;1;1;0;28.045.049.289.116.800;2.0
1152;17;1;1;1;14.763.015.096.833.700;20;1;3;0;1;0;0;17.629.211.240.998.600;4.0
1153;15;1;0;3;37.827.739.265.348.000;22;0;4;1;0;0;1;111.991.126.295.732;4.0
1154;17;0;0;2;11.469.835.277.819.500;23;0;2;0;0;0;0;10.306.575.057.198.700;4.0
1155;15;1;0;2;4.304.876.410.019.070;2;0;2;1;0;0;0;30.756.193.536.614.300;1.0
1156;16;0;0;3;17.232.499.001.679.500;16;1;3;1;1;0;0;2.631.434.065.124.410;2.0
1157;17;1;0;1;1.884.370.908.979.270;28;0;0;0;1;1;1;0.5030669073279145;4.0
1158;16;0;0;2;10.369.859.498.844.800;6;0;2;0;0;0;0;2.784.237.837.142.810;2.0
1159;15;1;0;3;7.046.177.684.183.560;28;0;2;0;0;0;0;0.24762676508656342;4.0
1160;18;0;0;1;4.681.155.500.349.980;20;0;3;0;0;0;1;11.895.487.696.187.800;4.0
1161;17;0;2;2;0.9956200304608753;4;1;3;1;0;0;1;33.759.940.088.028.300;1.0
1162;15;1;3;3;5.370.001.523.949.900;22;1;3;0;0;0;0;1.293.573.556.445.950;4.0
1163;18;0;0;2;13.084.715.598.906.300;0;1;3;0;0;1;1;37.185.869.042.869.600;0.0
1164;18;1;3;2;10.672.338.626.184.200;7;0;3;1;0;0;0;2.670.559.614.819.820;2.0
1165;16;1;1;3;18.880.825.565.618.500;11;1;2;1;0;0;0;2.369.648.013.449.610;3.0
1166;15;0;0;3;7.925.545.249.834.010;13;0;2;0;1;0;0;16.244.868.202.221.500;4.0
1167;18;1;0;1;1.387.726.684.656.780;15;1;2;1;1;0;0;25.374.768.278.143.500;2.0
1168;17;1;1;0;9.786.454.949.502.420;9;0;4;0;1;0;0;2.298.417.928.509.470;3.0
1169;17;1;2;2;10.251.524.318.484.200;14;0;3;1;0;0;0;22.598.041.504.961.100;3.0
1170;16;1;2;2;535.548.629.208.235;20;0;2;0;1;0;0;13.213.433.008.698.800;4.0
1171;18;1;0;2;9.099.015.536.839.990;23;0;3;0;1;0;0;0.9499742281238568;4.0
1172;15;0;0;2;9.415.699.940.254.140;25;0;2;1;0;0;1;0.818786616073051;4.0
1173;17;1;0;1;14.132.850.434.978.600;14;1;3;0;0;0;0;23.392.245.127.535.900;3.0
1174;18;1;0;2;1.881.279.998.372.220;9;0;2;0;1;0;0;26.827.762.879.633.700;2.0
1175;18;1;0;1;6.586.425.549.650.080;20;1;1;1;0;0;0;1.543.837.471.085.620;4.0
1176;16;1;0;2;0.8440093716259689;27;0;3;1;0;0;0;0.19690110482362244;4.0
1177;17;1;2;2;9.925.902.510.012.790;6;0;3;0;0;0;0;2.748.610.257.448.080;2.0
1178;17;0;3;1;10.889.226.642.983.300;25;1;2;1;0;1;0;11.048.937.876.999.400;4.0
1179;15;1;0;1;3.368.811.022.638.300;2;0;2;1;0;0;0;2.553.439.811.443.930;2.0
1180;17;0;3;2;15.209.292.125.521.300;1;0;3;1;0;0;1;32.742.334.588.098.700;1.0
1181;15;0;0;2;19.698.582.168.829.800;5;1;3;0;0;0;0;31.860.603.780.389.100;1.0
1182;17;0;0;1;18.915.494.340.169.200;20;0;3;1;0;0;0;1.722.115.750.240.580;4.0
1183;16;0;0;4;39.421.207.764.730.400;8;0;2;1;1;0;0;23.380.463.575.903.700;3.0
1184;17;1;1;2;17.507.264.798.015.200;9;1;4;1;1;0;0;3.273.998.748.434.330;1.0
1185;15;0;3;4;14.089.872.728.233.600;3;0;3;0;0;0;0;2.993.502.391.205.270;2.0
1186;15;0;1;2;9.076.931.276.138.230;26;1;3;1;0;0;0;0.8963978990233954;4.0
1187;16;1;0;2;10.812.219.886.494.500;2;0;3;0;0;0;0;29.610.552.588.035.900;2.0
1188;17;1;1;3;1.699.200.349.964.910;8;0;1;1;0;0;0;26.743.510.954.520.900;2.0
1189;17;1;0;2;9.602.698.792.767.460;23;0;0;1;1;0;0;12.178.731.513.333.600;4.0
1190;16;0;2;2;7.464.147.382.102.530;21;1;3;0;0;0;0;136.559.111.032.951;4.0
1191;17;1;1;1;9.864.949.860.519.710;16;0;2;0;0;0;1;15.222.748.446.854.200;4.0
1192;17;1;0;2;11.582.596.080.700.900;13;1;3;0;0;0;0;22.314.023.973.705.000;3.0
1193;15;0;1;1;3.781.553.075.566.970;9;0;2;1;0;0;0;2.135.266.354.890.090;3.0
1194;17;1;1;1;18.018.154.605.339.800;12;0;2;0;0;0;0;2.255.698.914.963.140;3.0
1195;17;1;0;0;13.483.738.976.592.200;11;1;1;1;0;1;0;2.751.145.787.611.700;2.0
1196;16;1;1;0;12.665.378.346.749.700;26;0;3;1;1;0;0;0.8976341586164038;4.0
1197;16;1;0;4;19.899.245.236.127.600;0;0;1;1;0;0;1;3.117.354.434.785.500;1.0
1198;18;0;2;1;12.083.478.763.451.800;27;0;3;1;0;1;0;12.875.951.312.580.000;4.0
1199;15;1;2;2;24.192.132.447.698.400;21;0;2;0;0;0;0;0.5710530980330257;4.0
1200;17;1;2;3;1.573.953.503.907.980;28;0;3;1;0;0;0;0.5813557994949716;4.0
1201;17;0;1;2;10.546.217.912.847.800;18;0;1;0;0;1;0;16.434.624.040.739.500;4.0
1202;18;1;1;1;8.055.710.680.929.890;18;0;1;0;0;0;0;12.348.440.407.820.200;4.0
1203;17;0;0;2;11.776.205.403.124.400;5;0;3;0;1;0;1;2.968.093.619.579.760;2.0
1204;15;1;2;2;17.844.433.611.447.700;12;0;2;1;0;0;0;2.009.298.479.722.310;3.0
1205;18;0;0;2;8.619.661.256.945.160;18;0;1;1;0;0;0;1.146.086.034.129.590;4.0
1206;15;0;0;2;34.957.343.009.031.500;12;1;4;0;0;0;0;21.923.631.978.552.800;3.0
1207;18;0;0;4;1.974.200.171.848.230;26;1;1;1;0;0;0;0.94573087329995;4.0
1208;18;0;0;2;11.223.004.248.703.400;25;0;2;1;0;0;0;0.5672500284902902;4.0
1209;16;1;1;1;13.748.737.218.817.300;21;0;1;0;0;0;0;0.9707643470928291;4.0
1210;15;0;0;2;6.508.365.613.652.150;20;1;2;1;0;1;1;16.560.601.255.004.600;4.0
1211;17;1;2;0;1.894.778.295.586.880;3;0;2;0;0;1;0;28.393.132.491.560.300;2.0
1212;17;0;0;3;19.517.417.255.670.700;23;0;1;0;0;1;1;0.189818059909026;4.0
1213;15;0;0;1;57.251.807.076.636.600;1;0;3;1;0;0;0;325.829.468.502.287;1.0
1214;17;0;1;1;8.476.163.703.471.480;14;1;2;0;0;0;0;19.200.558.526.588.900;4.0
1215;17;1;0;3;129.972.784.340.515;11;0;3;0;0;0;0;20.217.714.943.693.700;3.0
1216;15;0;0;2;0.4939459537222257;29;1;1;1;0;0;0;0.1259330746249498;4.0
1217;18;1;2;1;16.205.182.610.345.700;26;1;2;1;0;0;0;12.870.134.123.902.200;4.0
1218;15;1;0;2;10.731.563.800.572.400;6;0;0;1;0;1;0;25.914.267.032.293.100;2.0
1219;18;1;2;3;5.564.343.741.376.440;19;1;3;0;0;0;0;14.633.796.485.355.900;4.0
1220;17;1;0;1;1.232.159.705.849.380;17;0;3;0;0;0;0;1.465.549.386.433.810;4.0
1221;17;1;0;3;32.499.683.094.888.200;22;0;3;1;1;0;1;1.710.466.837.709.530;4.0
1222;17;1;2;0;17.900.677.177.068.700;12;0;2;0;1;0;1;2.288.505.685.252.230;3.0
1223;16;1;0;2;1.372.048.447.871.780;16;0;3;0;0;1;0;19.609.688.486.532.300;4.0
1224;18;1;0;3;4.998.034.432.737.790;3;0;3;0;0;0;0;26.216.233.262.773.400;2.0
1225;16;1;0;1;13.120.152.989.005.900;24;0;0;1;0;0;0;0.7683163859836675;4.0
1226;16;0;0;2;13.812.306.247.732.700;13;0;1;0;0;1;0;18.064.063.454.058.100;4.0
1227;15;0;2;1;11.448.154.519.355.300;19;0;2;0;0;0;0;0.88186635307777;4.0
1228;16;0;0;2;8.090.390.489.164.700;27;0;3;0;1;0;0;0.8170682206563473;4.0
1229;15;0;2;2;7.272.228.983.801.270;12;1;0;0;0;0;0;14.461.325.277.019.600;4.0
1230;15;0;2;2;4.336.285.518.582.160;2;0;3;0;1;0;0;33.390.943.622.003.100;1.0
1231;16;1;0;1;13.392.225.130.750.300;25;0;2;0;0;0;0;0.8196254779474454;4.0
1232;18;1;3;1;1.941.336.055.587.740;25;0;2;0;0;0;0;0.6768179731112823;4.0
1233;18;1;0;0;3.514.304.916.736.510;17;0;1;0;1;0;1;13.895.448.744.649.700;4.0
1234;18;1;3;1;11.942.332.400.310.000;13;0;2;0;1;0;1;19.915.084.140.251.700;4.0
1235;18;1;0;2;8.483.701.114.919.520;14;0;0;0;1;0;0;16.398.675.504.146.100;4.0
1236;18;1;1;3;8.933.774.434.893.290;2;0;0;0;1;0;0;25.117.430.206.054.200;2.0
1237;16;1;0;2;5.082.945.602.556.280;0;0;3;0;0;1;0;29.839.199.495.864.900;2.0
1238;16;0;0;2;1.650.269.751.322.830;25;1;2;0;0;1;0;125.865.485.443.205;4.0
1239;17;0;1;4;9.705.112.082.944.820;23;1;2;0;0;0;0;14.179.299.273.727.500;4.0
1240;18;0;2;2;10.868.117.043.965.200;16;0;1;1;0;1;0;15.970.165.723.817.600;4.0
1241;16;0;0;3;6.095.218.255.946.510;2;1;2;0;1;0;0;30.886.998.681.859.500;1.0
1242;17;1;0;2;3.636.169.313.338.990;13;0;0;1;1;0;0;16.413.414.427.787.100;4.0
1243;18;1;2;1;17.182.077.640.564.000;2;0;2;0;1;0;0;25.868.706.562.634.200;2.0
1244;15;1;1;0;14.282.382.818.498.300;12;1;2;0;0;0;0;2.389.032.645.212.180;3.0
1245;17;0;3;2;39.246.856.337.571.100;14;0;2;1;0;0;0;18.981.464.002.812.200;4.0
1246;16;1;2;1;13.801.507.083.775.900;17;0;4;0;1;0;0;21.104.879.749.817.400;3.0
1247;15;1;3;1;78.075.289.209.390.700;13;0;2;0;0;0;0;17.002.735.894.049.100;4.0
1248;15;1;2;2;8.315.496.019.793.020;20;0;2;1;0;0;0;10.444.999.950.877.100;4.0
1249;15;0;0;2;9.383.549.921.855.430;25;0;2;0;1;0;0;11.941.661.337.644.700;4.0
1250;17;1;0;2;7.354.170.162.550.860;2;0;1;0;0;1;0;26.491.368.281.965.500;2.0
1251;16;0;2;1;20.123.995.444.518.000;18;0;3;0;1;0;0;12.341.413.889.277.300;4.0
1252;15;0;1;1;6.192.636.200.056.910;7;0;2;1;0;0;0;2.127.408.865.912.820;3.0
1253;18;0;0;2;13.274.687.213.878.700;3;1;1;1;0;0;0;2.913.887.649.138.130;2.0
1254;15;0;0;4;1.331.568.802.937.740;3;0;3;0;0;0;1;3.119.393.913.150.370;1.0
1255;15;1;3;2;5.724.486.144.799.880;18;1;0;0;0;0;0;10.363.787.383.257.300;4.0
1256;17;0;1;3;920.205.253.115.376;10;0;4;1;0;0;1;2.403.284.547.023.520;3.0
1257;17;0;0;2;38.689.445.602.387.400;0;1;3;0;0;0;0;31.565.080.639.094.400;1.0
1258;16;1;0;2;42.074.416.305.967.100;7;1;2;0;1;1;0;2.723.471.858.740.060;2.0
1259;18;1;0;1;0.46094176813214816;14;0;1;1;1;0;0;15.309.511.463.109.000;4.0
1260;17;0;0;2;17.934.930.998.154.800;0;0;1;0;0;0;0;34.685.813.491.357.200;1.0
1261;15;1;0;2;4.214.133.301.498.120;6;0;1;1;0;0;0;23.020.320.443.414.000;3.0
1262;16;0;0;2;4.550.677.538.729.260;20;1;1;1;0;0;0;12.656.779.091.994.300;4.0
1263;15;0;2;2;5.592.028.652.902.630;19;0;2;1;1;0;1;1.479.602.227.739.030;4.0
1264;15;0;0;2;254.816.143.390.858;19;0;4;0;0;1;1;14.450.767.191.993.700;4.0
1265;17;0;2;1;12.785.257.663.627.200;23;0;2;0;0;0;0;0.8094338103684621;4.0
